,.,ADJ,ADP,ADV,CONJ,DET,NOUN,NUM,PRON,PRT,VERB,X
.,3877817,7,210,49,48,0,274,38,184,13,71,185
ADJ,186,2362070,2099,22853,67,336,74300,901,81,982,26988,1273
ADP,752,999,4452937,9544,1985,2314,557,7,399,8001,2686,311
ADV,198,31479,24831,1499394,752,4896,4103,34,195,3977,5201,154
CONJ,83,24,702,3622,1178185,367,247,27,20,31,123,193
DET,6,280,6734,1075,570,4047084,616,36,3760,203,42,117
NOUN,708,69957,1441,6846,486,1710,7919935,4287,1045,3354,56767,10035
NUM,501,1783,239,97,66,125,30107,386745,28,246,198,1068
PRON,392,14,8011,288,104,7556,286,0,1261806,3049,47,46
PRT,51,1055,20913,3434,14,63,2036,69,5708,787485,1414,57
VERB,276,18205,2035,1049,125,18,28006,42,33,881,4997873,226
X,147,396,519,204,155,473,5975,10,186,178,1088,35279
